x_i	f(x_i)	derivative(x_i)
x=-1.380000	f(x)=0.035964	f'(x)=-0.372374
x=-1.370000	f(x)=0.039780	f'(x)=-0.390858
x=-1.360000	f(x)=0.043781	f'(x)=-0.409186
x=-1.350000	f(x)=0.047964	f'(x)=-0.427351
x=-1.340000	f(x)=0.052328	f'(x)=-0.445345
x=-1.330000	f(x)=0.056871	f'(x)=-0.463160
x=-1.320000	f(x)=0.061591	f'(x)=-0.480790
x=-1.310000	f(x)=0.066487	f'(x)=-0.498228
x=-1.300000	f(x)=0.071556	f'(x)=-0.515467
x=-1.290000	f(x)=0.076796	f'(x)=-0.532499
x=-1.280000	f(x)=0.082206	f'(x)=-0.549318
x=-1.270000	f(x)=0.087782	f'(x)=-0.565918
x=-1.260000	f(x)=0.093524	f'(x)=-0.582292
x=-1.250000	f(x)=0.099428	f'(x)=-0.598432
x=-1.240000	f(x)=0.105493	f'(x)=-0.614332
x=-1.230000	f(x)=0.111715	f'(x)=-0.629988
x=-1.220000	f(x)=0.118092	f'(x)=-0.645391
x=-1.210000	f(x)=0.124623	f'(x)=-0.660536
x=-1.200000	f(x)=0.131303	f'(x)=-0.675418
x=-1.190000	f(x)=0.138131	f'(x)=-0.690029
x=-1.180000	f(x)=0.145104	f'(x)=-0.704362
x=-1.170000	f(x)=0.152218	f'(x)=-0.718416
x=-1.160000	f(x)=0.159472	f'(x)=-0.732183
x=-1.150000	f(x)=0.166862	f'(x)=-0.745656
x=-1.140000	f(x)=0.174385	f'(x)=-0.758830
x=-1.130000	f(x)=0.182039	f'(x)=-0.771700
x=-1.120000	f(x)=0.189819	f'(x)=-0.784262
x=-1.110000	f(x)=0.197724	f'(x)=-0.796511
x=-1.100000	f(x)=0.205749	f'(x)=-0.808442
x=-1.090000	f(x)=0.213893	f'(x)=-0.820049
x=-1.080000	f(x)=0.222150	f'(x)=-0.831328
x=-1.070000	f(x)=0.230519	f'(x)=-0.842274
x=-1.060000	f(x)=0.238996	f'(x)=-0.852882
x=-1.050000	f(x)=0.247577	f'(x)=-0.863150
x=-1.040000	f(x)=0.256259	f'(x)=-0.873072
x=-1.030000	f(x)=0.265038	f'(x)=-0.882649
x=-1.020000	f(x)=0.273912	f'(x)=-0.891869
x=-1.010000	f(x)=0.282876	f'(x)=-0.900730
x=-1.000000	f(x)=0.291927	f'(x)=-0.909238
x=-0.990000	f(x)=0.301061	f'(x)=-0.917377
x=-0.980000	f(x)=0.310274	f'(x)=-0.925149
x=-0.970000	f(x)=0.319564	f'(x)=-0.932552
x=-0.960000	f(x)=0.328925	f'(x)=-0.939581
x=-0.950000	f(x)=0.338355	f'(x)=-0.946236
x=-0.940000	f(x)=0.347850	f'(x)=-0.952514
x=-0.930000	f(x)=0.357405	f'(x)=-0.958405
x=-0.920000	f(x)=0.367018	f'(x)=-0.963914
x=-0.910000	f(x)=0.376684	f'(x)=-0.969043
x=-0.900000	f(x)=0.386399	f'(x)=-0.973785
x=-0.890000	f(x)=0.396160	f'(x)=-0.978129
x=-0.880000	f(x)=0.405962	f'(x)=-0.982086
x=-0.870000	f(x)=0.415801	f'(x)=-0.985654
x=-0.860000	f(x)=0.425675	f'(x)=-0.988822
x=-0.850000	f(x)=0.435578	f'(x)=-0.991596
x=-0.840000	f(x)=0.445507	f'(x)=-0.993977
x=-0.830000	f(x)=0.455457	f'(x)=-0.995959
x=-0.820000	f(x)=0.465426	f'(x)=-0.997537
x=-0.810000	f(x)=0.475408	f'(x)=-0.998721
x=-0.800000	f(x)=0.485400	f'(x)=-0.999503
